@id|amenity|name|covered|indoor|access|fee|bicycle_parking|surveillance|capacity|@lat|@lon
1113754479|bicycle_parking|||||||||45.3601138|9.6814088
1119875519|bicycle_parking||||||||5|42.4242336|11.6271578
1120499948|bicycle_parking||||||||5|45.5428392|9.1725815
1123469919|bicycle_parking||no||||wall_loops||8|46.0698076|11.1201006
1123469924|bicycle_parking||no||||wall_loops||10|46.0697515|11.1201134
1132296956|bicycle_parking|||||||||46.0218708|12.4776776
1134691958|bicycle_parking|||||||||45.5440923|9.1727875
1134691998|bicycle_parking|||||||||45.5434118|9.1727484
1134692030|bicycle_parking|||||||||45.5433856|9.1719928
1141575620|bicycle_parking||no|||no|wall_loops|||45.8329083|13.2090939
1154558148|bicycle_parking||||||wall_loops||6|46.1673739|11.1135773
1154584620|bicycle_parking|||||||||46.1665267|11.1102995
1166385269|bicycle_parking||no||||wall_loops||6|41.9149743|12.4672807
1166385273|bicycle_parking||no||||wall_loops||6|41.9148213|12.4676662
1172644203|bicycle_parking||||||||4|41.9287737|12.4779485
1177574912|bicycle_parking||no||||wall_loops|||45.8778660|12.2950051
1186355089|bicycle_parking||||||||5|41.9046173|12.5161187
1186361438|bicycle_parking||||||||5|41.9018554|12.5157380
1186366612|bicycle_parking||||||||5|41.9016704|12.5149455
1186543218|bicycle_parking||no|||no|wall_loops|||41.9083602|12.5121609
1186543220|bicycle_parking||no|||no|wall_loops|||41.9084893|12.5123362
1189928823|bicycle_parking||no||||wall_loops||6|41.9093297|12.4583682
1196524571|bicycle_parking|||||||||45.6851029|9.7178093
1196837381|bicycle_parking|Ciclobox - via Dogana|yes||yes|yes|building||55|46.0732263|11.1198981
1197149134|bicycle_parking|||||||||45.7808426|12.4894478
1198441142|bicycle_parking|||||||||45.6595339|12.2593627
1201847735|bicycle_parking|||||||||45.7794178|9.8249191
1202027599|bicycle_parking||no||||wall_loops||12|46.0696624|11.1187205
1202914660|bicycle_parking||no|||||||45.0368158|7.6515266
1211136796|bicycle_parking||no||||wall_loops|||46.0662349|11.1187207
1211136847|bicycle_parking||no||||wall_loops|||46.0662420|11.1187781
1214597766|bicycle_parking||no||||wall_loops||25|46.0674085|11.1218211
1224831048|bicycle_parking|||||||||41.9150410|12.4574701
1224832534|bicycle_parking|||||||||41.9137271|12.4554151
1224832535|bicycle_parking|||||||||41.9138403|12.4555491
1226777902|bicycle_parking|||||||||46.2120329|11.0898094
