@id|amenity|name|covered|indoor|access|fee|bicycle_parking|surveillance|@lat|@lon
2175986856|bicycle_parking||||||stands||45.4536175|9.1154487
2175986864|bicycle_parking||||||stands||45.4538776|9.1161126
2175986871|bicycle_parking||||||stands||45.4539845|9.1159634
2175986878|bicycle_parking||||||stands||45.4551359|9.1134264
2175986883|bicycle_parking||yes||||stands||45.4552554|9.1138391
2175986890|bicycle_parking||yes||||stands||45.4574598|9.1226367
2175986896|bicycle_parking||||||stands||45.4595336|9.1278623
2175986906|bicycle_parking||||||stands||45.4607517|9.1389709
2175986911|bicycle_parking||||||stands||45.4610325|9.1368647
2175986915|bicycle_parking||||||stands||45.4610779|9.1364649
2175986919|bicycle_parking||||||stands||45.4700547|9.1612674
2175986925|bicycle_parking||||||stands||45.4701216|9.1610528
2175986931|bicycle_parking||||||stands||45.4741775|9.1635077
2175986938|bicycle_parking||||||stands||45.4745003|9.1630713
2182298346|bicycle_parking||no||||wall_loops||45.5052740|9.2474809
2192353203|bicycle_parking||no||||Verona_rack||45.4752969|9.2039070
2192353213|bicycle_parking||no||||Verona_rack||45.4828501|9.1896524
2192353217|bicycle_parking||||||Verona_rack||45.4829508|9.1907580
2192353219|bicycle_parking||no||||Verona_rack||45.4829922|9.1887790
2192353220|bicycle_parking||no||||Verona_rack||45.4832647|9.1884513
2193313267|bicycle_parking||no||||stands||45.4413383|9.2209419
2193313268|bicycle_parking||||||stands||45.4416164|9.2211969
2193313269|bicycle_parking||||||stands||45.4440922|9.2160937
2194418298|bicycle_parking||no||||ground_slots||45.5527531|9.1927769
2194737151|bicycle_parking||||||Verona_rack||45.4620581|9.2023254
2194737152|bicycle_parking||no||||Verona_rack||45.4623833|9.2011711
2194737153|bicycle_parking||no||||stands||45.4629563|9.1899856
2194737154|bicycle_parking||no||||stands||45.4655609|9.1859853
2198358764|bicycle_parking||||||Verona_rack||45.4839399|9.1873166
2199857350|bicycle_parking||||||stands||45.4727925|9.1598598
2199857354|bicycle_parking||no||||wall_loops||45.4733220|9.1562599
2199857357|bicycle_parking||no||||stands||45.4795494|9.1479274
2199857358|bicycle_parking||||||stands||45.4809892|9.1557823
2199857359|bicycle_parking||yes||||stands||45.4811706|9.1515210
2205997857|bicycle_parking||||||stands||45.5380053|9.2179757
2205997858|bicycle_parking||||||stands||45.5380160|9.2179055
2205997870|bicycle_parking||no||||ground_slots||45.5444912|9.2165034
2205997990|bicycle_parking|||||no|stands||45.5470514|9.2096991
2205998005|bicycle_parking|||||no|stands||45.5474440|9.2094394
2207950697|bicycle_parking||no||||stands||45.4784785|9.2328931
2223187817|bicycle_parking||||||wall_loops||45.5194931|9.3316270
2223187834|bicycle_parking||||||wall_loops||45.5195364|9.3306438
2223187845|bicycle_parking||||||wall_loops||45.5196034|9.3316310
2223188117|bicycle_parking||no||||wall_loops||45.5215192|9.3305189
2223188154|bicycle_parking||no||||wall_loops||45.5218076|9.3305096
2228843692|bicycle_parking||no||||wall_loops||45.5255415|9.3762615
2228843695|bicycle_parking||no||||wall_loops||45.5256212|9.3764361
2228857713|bicycle_parking||||||wall_loops||45.5315403|9.3764287
2228857714|bicycle_parking||no||||wall_loops||45.5326347|9.3729867
2228857715|bicycle_parking||||||wall_loops||45.5318569|9.3730554
2228857716|bicycle_parking||||||wall_loops||45.5328889|9.3742751
2252712885|bicycle_parking||||||stands||45.4892560|9.1853750
2252712893|bicycle_parking||no||||floor||45.4703823|9.1557751
2257692550|bicycle_parking||no||||Verona_rack||45.5021456|9.1596604
2258763061|bicycle_parking||yes||||stands||45.4436876|9.1677178
2258763070|bicycle_parking||no||||stands||45.4462781|9.1601313
2258763079|bicycle_parking||no||||stands||45.4503868|9.1557177
2258763085|bicycle_parking||no||||stands||45.4504164|9.1558036
2258763089|bicycle_parking||||||stands||45.4558655|9.1724252
2258763097|bicycle_parking||no||||ground_slots||45.4601542|9.1549834
2258763103|bicycle_parking||no||||wall_loops||45.4606844|9.1550735
