@id|leisure|name|opening_hours|indoor|fee|supervised|@lat|@lon
3988544902|playground|scivolo|||||44.4571994|8.8975117
3992266358|playground||||||45.6019336|8.4217508
3992442591|playground||||||45.1518482|8.8294456
3996138488|playground||||||45.4103669|9.1367494
3997393914|playground||||||43.8538336|10.7482957
3997795699|playground||||||45.4092182|9.1304292
3997795700|playground||||||45.4087388|9.1292621
3999380066|playground||||||45.7876758|11.8216725
3999501110|playground||||||44.4416497|11.2731296
3999501111|playground||||||44.4418881|11.2725692
4000973981|playground||||||43.3288121|11.3124734
4004267656|playground||||||45.1741337|8.7934583
4006377235|playground||||||44.4463612|8.9056240
4006377276|playground||||||44.4473540|8.9092437
4009871056|playground||||||45.4094836|9.1323196
4010034489|playground||||||43.7334513|12.9680123
4010034490|playground|Parco giochi comunale|||||43.7367987|12.9687202
4010077745|playground||||||44.6280729|11.1900342
4010342888|playground||||||45.0059054|9.1022392
4010831722|playground||||||45.4275600|9.1253703
4011194163|playground||||||43.7325725|12.9662025
4012306131|playground||||||45.4165890|9.1042454
4016255842|playground||||||45.4193680|9.1093640
4016994000|playground||||||45.1635991|8.7368463
4017325525|playground||||||44.4468866|11.2754157
4018385255|playground||||||41.2215392|16.0656512
4020230033|playground||||||44.4374337|11.2681836
4020578735|playground||||||41.2231919|16.0676023
4020591229|playground||||||45.0515745|9.3267256
4021976245|playground||||||46.8479337|11.3068697
4022062789|playground||||||40.7132151|8.5611408
4022062790|playground||||||40.7129833|8.5614466
4022062791|playground||||||40.7138698|8.5619777
4022062792|playground||||||40.7137986|8.5614224
4022552231|playground||||||45.6107611|8.8612594
4022563385|playground||||||45.4165068|9.1102675
4023787757|playground||||||44.1835413|12.1261839
4023845994|playground||||||44.2061573|12.0351257
4024024050|playground||||||45.4847027|9.4697724
4026387973|playground||||||43.9192639|10.8809470
4026875165|playground||||||45.4294458|9.1195724
4027631384|playground||||||42.8462689|12.0658841
4027835942|playground||||||45.5512374|9.2841056
