@id|amenity|name|@lat|@lon
270198478|drinking_water||41.8855249|12.4943580
270198479|drinking_water||41.8837598|12.4947844
270198480|drinking_water||41.8854777|12.4932314
270199174|drinking_water||41.9130047|12.5011685
270199175|drinking_water||41.9116250|12.5015731
270199359|drinking_water||41.8619355|12.4823320
270287292|drinking_water||41.8657236|12.5019170
270287296|drinking_water||41.8657699|12.5023183
270287297|drinking_water||41.8664793|12.5002265
270287332|drinking_water||41.8646372|12.5026369
270290555|drinking_water||41.8578003|12.4998365
270296197|drinking_water||41.8536576|12.4979899
270297535|drinking_water||46.2919786|11.4409132
270297536|drinking_water||46.2916788|11.4421994
270297539|drinking_water||46.2924663|11.4457038
270297542|drinking_water|Fontana Termale|46.2924348|11.4371278
270297543|drinking_water||46.2911599|11.4388250
270297545|drinking_water||46.2919660|11.4367316
270297546|drinking_water||46.2878003|11.4361463
270297552|drinking_water||46.2793031|11.4333583
270297553|drinking_water||46.2801630|11.4340334
270302557|drinking_water||41.8457809|12.4912930
270315816|drinking_water||41.8875318|12.5119818
270317883|drinking_water||41.9110489|12.5085046
270419351|drinking_water||36.7862441|14.9102232
270424099|drinking_water||41.2263955|16.2953605
271149499|drinking_water||44.4162530|8.8739634
271292335|drinking_water||46.0883817|11.1335400
271292336|drinking_water||46.0888492|11.1342119
271292337|drinking_water||46.0888681|11.1407194
271292341|drinking_water|"Fontana ""bambina"""|46.0783962|11.1366485
271292342|drinking_water||46.0896762|11.1313978
271375023|drinking_water||46.0713458|11.1408508
271619575|drinking_water||44.3890712|7.3714647
272076649|drinking_water||46.3196190|10.8273953
272076651|drinking_water||46.3213260|10.8385117
273178926|drinking_water||43.2362889|11.5577720
274015329|drinking_water||44.4053193|8.9671580
274086805|drinking_water||46.0830737|11.2208120
274086810|drinking_water||46.0851052|11.2140778
274235747|drinking_water||46.9422133|11.2486131
274235748|drinking_water||46.9366164|11.2534587
274301855|drinking_water||46.2876993|11.4585232
274303874|drinking_water||46.2868554|11.4610969
274303875|drinking_water||46.2887991|11.4611651
274303877|drinking_water||46.2910942|11.4592135
274303878|drinking_water||46.2906816|11.4589925
274714887|drinking_water||46.3475117|11.4306206
274714896|drinking_water||46.3123326|11.4628443
274714899|drinking_water||46.3147058|11.4717304
274714908|drinking_water||46.3027143|11.4556693
274849198|drinking_water|Ciappa Sueňa|44.5597680|9.1727935
274849260|drinking_water|Fontana Buccaiusa|44.5638389|9.1648626
274903349|drinking_water||46.2888861|11.4729125
274903350|drinking_water||46.2865594|11.4721994
274903351|drinking_water||46.2839774|11.4842703
274903352|drinking_water||46.2823399|11.4857937
274903353|drinking_water||46.2813933|11.4858294
274938666|drinking_water||44.5597677|9.1772771
274957285|drinking_water||44.5254534|9.1571683
274957286|drinking_water||44.5228166|9.1578949
276548701|drinking_water||41.8745254|12.5061540
276549297|drinking_water||41.8990667|12.5106645
276549965|drinking_water||41.9080531|12.5301364
276551773|drinking_water||41.8896715|12.5231730
